LON,LAT,PLOTID,SAMPLEID,frel_change0510,frel_change1015,coded_2000_2010,coded_2009_2015,coded_last_change,coded_updated_2010_2015,coded_updated_2005_2010,fcdm,ccdc_2005_2010,ccdc_2010_2015
100.8012502,20.47006653,905,905,22,22,1,1,0,1,1,0,1,1
101.7870517,18.73754877,907,907,22,22,1,1,0,1,1,0,1,1
100.9179204,20.80996884,909,909,22,22,1,1,0,1,1,0,1,1
101.4816947,19.31086315,910,910,22,22,1,1,0,1,1,0,1,1
101.5617488,19.47726916,913,913,22,22,1,1,0,1,1,0,1,1
101.6812596,20.04835629,914,914,22,22,1,1,0,1,1,0,1,1
100.7136903,20.75736918,915,915,44,44,1,1,0,1,1,0,1,1
100.5772846,20.80015687,916,916,11,11,1,1,0,1,1,0,1,1
100.4256844,20.74398201,930,930,22,22,1,1,0,1,1,0,1,1
104.1960137,20.5615622,933,933,22,22,1,1,0,1,1,0,1,1
101.427331,19.10866892,935,935,22,22,1,1,0,1,1,0,1,1
101.1417903,20.86711736,938,938,11,11,1,1,0,1,1,0,1,1
102.1050799,19.58996872,940,940,44,44,1,1,0,1,1,0,1,1
103.1798715,19.99888228,941,941,22,22,1,1,0,1,1,0,1,1
100.6014461,20.62118308,945,945,11,11,1,1,0,1,1,0,1,1
104.2502232,20.3628409,947,947,22,22,1,1,0,1,1,0,1,1
101.7379349,19.81411856,950,950,22,22,1,1,0,1,1,0,1,1
101.5619842,21.14137883,953,953,11,11,1,1,0,1,1,0,1,1
104.4485482,20.52703961,954,954,22,22,1,1,0,1,1,0,1,1
104.0236713,20.32594108,959,959,22,22,1,1,0,1,1,0,1,1
101.0138517,21.37773586,960,960,22,22,1,1,0,1,1,0,1,1
100.9652628,19.73013021,966,966,22,22,1,1,0,1,1,0,1,1
103.169763,20.05487374,968,968,11,11,1,1,0,1,1,0,1,1
101.9993641,19.83414383,973,973,33,33,1,1,0,1,1,0,1,1
103.4891066,20.13025573,975,975,22,22,1,1,0,1,1,0,1,1
102.6538692,20.40178734,976,976,22,22,1,1,0,1,1,0,1,1
101.2514335,18.34565314,980,980,22,22,1,1,0,1,1,0,1,1
104.6502375,20.15590431,986,986,22,22,1,1,0,1,1,0,1,1
102.5550769,19.27667651,987,987,22,22,1,1,0,1,1,0,1,1
102.3269704,19.51375794,989,989,44,44,1,1,0,1,1,0,1,1
103.7402978,20.71875576,997,997,22,22,1,1,0,1,1,0,1,1
104.2235163,20.58662557,349,349,44,44,1,1,0,1,1,0,2,1
101.6288348,20.77292183,842,842,22,22,1,1,0,1,1,0,2,1
103.0363941,20.93678625,929,929,22,22,1,1,0,1,1,0,2,1
101.6685157,20.12257148,952,952,22,22,1,1,0,1,1,0,2,1
102.7782607,20.30371417,433,433,44,44,1,1,0,1,1,0,4,1
100.7466297,19.93580756,34,34,44,44,1,1,0,1,1,2005,1,1
101.3660158,20.81059225,42,42,11,11,1,1,0,1,1,2005,1,1
101.1212512,20.15331555,57,57,44,44,1,1,0,1,1,2005,1,1
104.9413447,20.11964392,73,73,22,22,1,1,0,1,1,2005,1,1
100.4998125,20.18529746,160,160,22,22,1,1,0,1,1,2005,1,1
102.6162966,20.43459916,241,241,22,22,1,1,0,1,1,2005,1,1
103.2169034,20.54720431,319,319,44,44,1,1,0,1,1,2005,1,1
101.7658619,21.06796764,365,365,22,22,1,1,0,1,1,2005,1,1
101.9303531,20.65347891,391,391,22,22,1,1,0,1,1,2005,1,1
101.3384507,18.90227778,398,398,11,11,1,1,0,1,1,2005,1,1
101.7575807,19.17436139,534,534,22,22,1,1,0,1,1,2005,1,1
101.486559,20.15882929,588,588,22,22,1,1,0,1,1,2005,1,1
100.8593116,20.54207459,625,625,44,44,1,1,0,1,1,2005,1,1
102.0326634,20.30078037,684,684,44,44,1,1,0,1,1,2005,1,1
103.1738862,20.82450601,969,969,22,22,1,1,0,1,1,2005,1,1
102.6028858,20.6863551,482,482,44,44,1,1,0,1,1,2005,4,1
101.5888038,19.96483474,142,142,22,22,1,1,0,1,1,2006,1,1
102.5711682,19.42319279,381,381,22,22,1,1,0,1,1,2006,1,1
101.4926717,18.37407612,402,402,22,22,1,1,0,1,1,2006,1,1
101.9347353,19.50103285,406,406,44,44,1,1,0,1,1,2006,1,1
101.7150589,18.93180154,841,841,22,22,1,1,0,1,1,2006,1,1
101.9525784,20.4323645,949,949,22,22,1,1,0,1,1,2006,1,1
103.7647666,20.61404358,998,998,22,22,1,1,0,1,1,2006,1,1
102.4621563,20.61499407,725,725,22,22,1,1,0,1,1,2006,2,1
103.8783948,20.70399084,802,802,44,44,1,1,0,1,1,2006,2,1
101.4193883,20.7202271,196,196,44,44,1,1,0,1,1,2007,1,1
104.5568852,19.6606707,247,247,44,44,1,1,0,1,1,2007,1,1
101.4073375,17.7898851,765,765,44,44,1,1,0,1,1,2007,1,1
