LON,LAT,PLOTID,SAMPLEID,frel_change0510,frel_change1015,coded_2000_2010,coded_2009_2015,coded_last_change,coded_updated_2010_2015,coded_updated_2005_2010,fcdm,ccdc_2005_2010,ccdc_2010_2015,ccdc_0510_buffer_disturbance_1px,ccdc_1015_buffer_disturbance_1px,coded_0510_buffer_disturbance_1px,coded_1015_buffer_disturbance_1px,fcdm_0510_buffer_disturbance_1px,fcdm_1015_buffer_disturbance_1px,frel_0510_buffer_disturbance_1px,frel_1015_buffer_disturbance_1px,ccdc_0510_buffer_disturbance_2px,ccdc_1015_buffer_disturbance_2px,coded_0510_buffer_disturbance_2px,coded_1015_buffer_disturbance_2px,fcdm_0510_buffer_disturbance_2px,fcdm_1015_buffer_disturbance_2px,frel_0510_buffer_disturbance_2px,frel_1015_buffer_disturbance_2px
100.59630387231817,19.598628965375898,469,469,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,5,1,1
101.67219389844736,18.941055439469466,473,473,11,11,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
103.61651191636959,20.6779653769955,478,478,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
103.10224528858542,20.017578746158488,485,485,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1
103.89296002073947,20.482100081458093,486,486,44,44,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1
100.65330328410441,20.2594952903981,491,491,11,11,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1
101.33721126555407,20.75178693287991,494,494,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
101.30878094050554,19.112553063776794,499,499,11,11,1,1,0,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1
102.6062945348678,20.908267794430653,500,500,22,22,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104.12706365819257,20.23351152712839,504,504,22,22,1,1,0,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1
102.41355519277319,19.637734315275587,505,505,44,44,1,1,0,1,1,0,1,1,1,1,5,1,1,5,1,1,1,1,5,1,1,5,1,1
